sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
001_Win_15_10m_02-3,0,0,0,0,2,7,3,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,15,34.03382833,-120.9436683,,
001_Win_15_10m_03,0,0,0,0,3,8,1,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,15,34.03382833,-120.9436683,,reused swinex from 01 rep
001_Win_15_10m_03-2,0,0,0,0,3,8,2,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,15,34.03382833,-120.9436683,,
001_Win_15_10m_03-3,0,0,0,0,3,8,3,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,15,34.03382833,-120.9436683,,
001_Win_7_100m_01,0,0,0,0,1,2,1,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_01-1,0,0,0,0,1,2,2,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_01-2,0,0,0,0,1,2,3,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_02,0,0,0,0,2,3,1,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_02-2,0,0,0,0,2,3,2,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_02-3,0,0,0,0,2,3,3,202210,20221013,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_03,0,0,0,0,3,4,1,202210,20221013,DL,1,RREAS,2,CTD,1,100,800,800 - 1000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,filter was dropped on the paper towel
001_Win_7_100m_03-2,0,0,0,0,3,4,2,202210,20221013,DL,1,RREAS,2,CTD,1,100,800,800 - 1000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
001_Win_7_100m_03-3,0,0,0,0,3,4,3,202210,20221013,DL,1,RREAS,2,CTD,1,100,800,800 - 1000,80.7 59.9,2210RL_001,1,7,34.03382833,-120.9436683,,
002_GEM_1_90m,0,0,0,0,1,23,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,1,34.14325333,-119.4080033,,
002_GEM_1_90m-1,0,0,0,0,1,23,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,1,34.14325333,-119.4080033,,
002_GEM_1_90m-2,0,0,0,0,1,23,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,1,34.14325333,-119.4080033,,
002_GEM_3_Chlamax_30m,0,0,0,0,1,19,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,3,34.14325333,-119.4080033,,
