BestTaxon,001_GEM_11_Chlamax_24m,001_GEM_2_515m,001_GEM_4_170m,001_Win_12_Chlamax_01,001_Win_12_Chlamax_03,001_Win_7_100m_01,001_Win_7_100m_02,002_GEM_1_90m,002_GEM_5_10m,002_Win_2_90m_01,002_Win_4_Chlamax_30m_02,002_Win_6_10m_01,002_Win_6_10m_02,003_GEM_1_260m,003_GEM_2_170m,003_GEM_3_100m,003_GEM_5_Chlamax_38m,003_Win_4_100m_01,003_Win_4_100m_02,003_Win_4_100m_03,003_Win_6_Chlamax_38m_01,003_Win_6_Chlamax_38m_02,003_Win_6_Chlamax_38m_03,003_Win_8_10m_01,003_Win_8_10m_02,003_Win_8_10m_03,004_GEM_1_80m,004_GEM_5_Chlamax_17m,004_GEM_7_10m,004_Win_2_80m_01,004_Win_2_80m_02,004_Win_2_80m_03,004_Win_4_Chlamax_17m_01,005_GEM_5_Chlamax_31m,005_GEM_7_10m,005_Win_4_100m_01,005_Win_4_100m_02,005_Win_6_Chlamax_31m_01,005_Win_6_Chlamax_31m_03,005_Win_8_10m_01,005_Win_8_10m_02,005_Win_8_10m_03,006_GEM_5_40m,006_GEM_7_10m,006_Win_4_100m_01,006_Win_4_100m_02,006_Win_6_40m_01,006_Win_8_10m_01,006_Win_8_10m_03,007_GEM_5_40m,007_GEM_7_10m,007_Win_4_100m_01,007_Win_4_100m_02,007_Win_6_41m_01,007_Win_8_10m_01,007_Win_8_10m_02,007_Win_8_10m_03,008_GEM_1_70m,008_GEM_2_15m,008_GEM_3_5m,009_GEM_1_515m,009_GEM_5_Chlamax_20m,009_GEM_7_10m,009_Win_4_100m_01,009_Win_4_100m_02,009_Win_6_Chlamax_20m_02,009_Win_8_10m_01,009_Win_8_10m_03,010_GEM_1_515m,010_GEM_2_170m,010_Win_4_100m_01,010_Win_8_10m_01,011_GEM_1_515m,011_GEM_2_170m,011_GEM_5_Chlamax_18m,011_Win_4_100m_03,011_Win_6_Chlamax_18m_01,012_GEM_1_60m,012_GEM_3_10m,012_Win_2_60m_01,012_Win_2_60m_02,012_Win_2_60m_03,012_Win_4_10m_01,012_Win_4_10m_03,013_GEM_1_515m,013_GEM_2_170m,013_GEM_5_Chlamax_46m,013_Win_4_100m_02,013_Win_6_46m_02,013_Win_8_10m_01,013_Win_8_10m_03,014_GEM_1_515m,014_GEM_2_170m,014_GEM_3_100m,014_GEM_7_10m,014_Win_4_100m_01,014_Win_4_100m_02,014_Win_6_Chlamax_46m_01,014_Win_6_Chlamax_46m_02,014_Win_6_Chlamax_46m_03,014_Win_8_10m_02,014_Win_8_10m_03,015_GEM_1_515m,015_GEM_2_170m,015_GEM_3_100m,015_GEM_5_Chlamax_20m,015_GEM_7_10m,015_Win_6_Chlamax_20m_01,015_Win_8_10m_01,015_Win_8_10m_02,016_GEM_1_420m,016_GEM_4_Chlamax_21m,016_GEM_5_5m,202210_068.1_055.9_10,202210_068.1_055.9_100,202210_068.1_055.9_170,202210_070.0_063.3_170,202210_070.0_063.6_10,202210_070.0_063.6_515,202210_070.0_066.7_10,202210_070.0_066.7_100,202210_070.0_066.7_170,202210_073.3_052.1_100,202210_073.3_052.1_515,202210_073.3_055.0_100,202210_073.3_055.0_17,202210_073.3_055.0_515,202210_073.3_060.0_10,202210_073.3_060.0_100,202210_076.7_049.0_15,202210_076.7_049.0_5,202210_076.7_049.0_70,202210_076.7_051.0_10,202210_076.7_051.0_170,202210_076.7_051.0_230,202210_076.7_055.0_10,202210_076.7_055.0_100,202210_076.7_055.0_170,202210_076.7_055.0_40,202210_076.7_055.0_515,202210_080.7_059.9_10,202210_080.7_059.9_100,202210_080.7_059.9_170,202210_080.7_059.9_515,202210_081.2_053.9_30,202210_081.2_053.9_90,202210_082.7_046.1_10,202210_082.7_046.1_100,202210_082.7_046.1_38,202210_083.6_051.5_21,202210_083.6_051.5_5,202210_084.0_041.7_80,202210_084.5_043.5_10,202210_084.5_043.5_170,202210_084.5_043.5_31,202210_084.5_043.5_380,202210_UWDNA_1012_1820,2210RL_001_PF_Bon_02,2210RL_001_PF_Man_03,2210RL_002_PF_Man_03,2210RL_003_PF_Bon_02,2210RL_003_PF_Bon_03,2210RL_003_PF_Man_01,2210RL_003_PF_Man_02,2210RL_003_PF_Man_03,2210RL_004_PF_Man_02,2210RL_005_PF_Man_01,2210RL_005_PF_Man_02,2210RL_007_PF_Bon_02,2210RL_008_PF_Bon_02,2210RL_008_PF_Man_01,2210RL_009_PF_Man_02,2210RL_010_PF_Man_03,2210RL_011_PF_Man_02,2210RL_011_PF_Man_03,2210RL_012_PF_Bon_01,2210RL_013_PF_CTD_01,2210RL_013_PF_Man_01,2210RL_013_PF_Man_02,2210RL_013_PF_Man_03,2210RL_014_PF_Bon_03,2210RL_014_PF_Man_01,2210RL_014_PF_Man_02,2210RL_015_PF_CTD_02,2210RL_015_PF_Man_01,2210RL_015_PF_Man_02,2210RL_015_PF_Man_03,2210RL_016_PF_Bon_01,2210RL_016_PF_Bon_02,2210RL_016_PF_Bon_03,2210RL_016_PF_Man_03,
Delphinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8841,2,101,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Stenella coeruleoalba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
