sample-id,mm_detect,Bio-rep,unique_biorep,uniqiue_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Collection_method,Collection_method_numeric,Collection_device,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,depth_m_ZG,bottle,volume_L_ZG,latitude,longitude,Ecological Notes,Processing Notes
001_Win_15_10m_02,0,2,2210RL_00110RREAS2,7,1,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_15_10m_02-2,0,2,2210RL_00110RREAS2,7,2,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_15_10m_02-3,0,2,2210RL_00110RREAS2,7,3,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_15_10m_03,0,3,2210RL_00110RREAS3,8,1,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,reused swinex from 01 rep
001_Win_15_10m_03-2,0,3,2210RL_00110RREAS3,8,2,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_15_10m_03-3,0,3,2210RL_00110RREAS3,8,3,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_7_100m_01,0,1,2210RL_001100RREAS1,2,1,BAE02,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_01-1,0,1,2210RL_001100RREAS1,2,2,BAE01,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_01-2,0,1,2210RL_001100RREAS1,2,3,BAE01,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_02,0,2,2210RL_001100RREAS2,3,1,BAE01,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_02-2,0,2,2210RL_001100RREAS2,3,2,BAE02,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_02-3,0,2,2210RL_001100RREAS2,3,3,BAE02,202210,20221013,RREAS,2,CTD,100,2000,1400 - 2000,80.7 59.9,2210RL_001,1,100,7,2,34.03382833,-120.9436683,,
001_Win_7_100m_03,0,3,2210RL_001100RREAS3,4,1,BAE01,202210,20221013,RREAS,2,CTD,100,800,800 - 1000,80.7 59.9,2210RL_001,1,100,7,0.8,34.03382833,-120.9436683,,filter was dropped on the paper towel
001_Win_7_100m_03-2,0,3,2210RL_001100RREAS3,4,2,BAE02,202210,20221013,RREAS,2,CTD,100,800,800 - 1000,80.7 59.9,2210RL_001,1,100,7,0.8,34.03382833,-120.9436683,,
001_Win_7_100m_03-3,0,3,2210RL_001100RREAS3,4,3,BAE02,202210,20221013,RREAS,2,CTD,100,800,800 - 1000,80.7 59.9,2210RL_001,1,100,7,0.8,34.03382833,-120.9436683,,
002_GEM_1_90m,0,1,2210RL_00290GEMCAP1,23,1,BAE02,202210,20221013,GEMCAP,1,CTD,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,90,1,1,34.14325333,-119.4080033,,
002_GEM_1_90m-1,0,1,2210RL_00290GEMCAP1,23,2,BAE01,202210,20221013,GEMCAP,1,CTD,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,90,1,1,34.14325333,-119.4080033,,
002_GEM_1_90m-2,0,1,2210RL_00290GEMCAP1,23,3,BAE01,202210,20221013,GEMCAP,1,CTD,90,1000,800 - 1000,81.2 53.9,2210RL_002,2,90,1,1,34.14325333,-119.4080033,,
002_GEM_3_Chlamax_30m,0,1,2210RL_00230GEMCAP1,19,1,BAE02,202210,20221013,GEMCAP,1,CTD,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,30,3,1,34.14325333,-119.4080033,,
002_GEM_3_Chlamax_30m-1,0,1,2210RL_00230GEMCAP1,19,2,BAE01,202210,20221013,GEMCAP,1,CTD,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,30,3,1,34.14325333,-119.4080033,,
002_GEM_3_Chlamax_30m-2,0,1,2210RL_00230GEMCAP1,19,3,BAE01,202210,20221013,GEMCAP,1,CTD,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,30,3,1,34.14325333,-119.4080033,,
002_GEM_5_10m,0,1,2210RL_00210GEMCAP1,15,1,BAE02,202210,20221013,GEMCAP,1,CTD,10,900,800 - 1000,81.2 53.9,2210RL_002,2,10,5,0.9,34.14325333,-119.4080033,,
002_GEM_5_10m-1,0,1,2210RL_00210GEMCAP1,15,2,BAE01,202210,20221013,GEMCAP,1,CTD,10,900,800 - 1000,81.2 53.9,2210RL_002,2,10,5,0.9,34.14325333,-119.4080033,,
