sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
015_Win_8_10m_01-1,0,0,0,0,1,180,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_01-2,0,0,0,0,1,180,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_GEM_3_100m,0,0,0,0,1,173,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,68.1 55.9,2210RL_015,15,3,36.34642,-121.6896133,,
015_GEM_3_100m-2,0,0,0,0,1,173,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,68.1 55.9,2210RL_015,15,3,36.34642,-121.6896133,,
015_GEM_3_100m-3,0,0,0,0,1,173,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,68.1 55.9,2210RL_015,15,3,36.34642,-121.6896133,,
015_GEM_2_170m,0,0,0,0,1,178,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,68.1 55.9,2210RL_015,15,2,36.34642,-121.6896133,,
015_GEM_2_170m-2,0,0,0,0,1,178,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,68.1 55.9,2210RL_015,15,2,36.34642,-121.6896133,,
015_GEM_2_170m-3,0,0,0,0,1,178,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,68.1 55.9,2210RL_015,15,2,36.34642,-121.6896133,,
015_GEM_1_515m,0,0,0,0,1,183,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,68.1 55.9,2210RL_015,15,1,36.34642,-121.6896133,,
015_GEM_1_515m-2,0,0,0,0,1,183,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,68.1 55.9,2210RL_015,15,1,36.34642,-121.6896133,,
015_GEM_1_515m-3,0,0,0,0,1,183,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,68.1 55.9,2210RL_015,15,1,36.34642,-121.6896133,,
014_GEM_7_10m,0,0,0,0,1,163,1,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,70.0 63.6,2210RL_014,14,7,35.7642,-121.3789217,,
014_GEM_7_10m-1,0,0,0,0,1,163,2,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,70.0 63.6,2210RL_014,14,7,35.7642,-121.3789217,,
014_GEM_7_10m-2,0,0,0,0,1,163,3,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,70.0 63.6,2210RL_014,14,7,35.7642,-121.3789217,,
014_Win_8_10m_01,0,0,0,0,1,164,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
