sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinidae_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,input,filtered,denoisedF,denoisedR,merged,nonchim,length_filter
001_Win_12_Chlamax_02-2,0.0,0.0,0.0,0.0,2.0,12.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,24.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,12.0,34.03382833,-120.9436683,27909,23983,28646,28451,24382,24251,8347
001_Win_12_Chlamax_02-3,0.0,0.0,0.0,0.0,2.0,12.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,24.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,12.0,34.03382833,-120.9436683,14204,13021,13703,14238,9448,9448,4852
001_Win_12_Chlamax_03,0.0,0.0,0.0,0.0,3.0,13.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,24.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,12.0,34.03382833,-120.9436683,22904,19949,25383,25364,21255,21207,3996
001_Win_12_Chlamax_03-2,0.0,0.0,0.0,0.0,3.0,13.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,24.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,12.0,34.03382833,-120.9436683,22219,20084,20733,20720,9117,9048,159
001_Win_12_Chlamax_03-3,0.0,0.0,0.0,0.0,3.0,13.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,24.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,12.0,34.03382833,-120.9436683,426095,388268,394446,395394,375726,375393,110252
001_Win_15_10m_01,0.0,0.0,0.0,0.0,1.0,6.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,257861,209819,238791,232036,184352,183431,29734
001_Win_15_10m_01-1,0.0,0.0,0.0,0.0,1.0,6.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,1620471,1449248,1547203,1545118,1040296,885299,359123
001_Win_15_10m_01-2,0.0,0.0,0.0,0.0,1.0,6.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,616032,546714,561565,561394,446831,442120,127502
001_Win_15_10m_02,0.0,0.0,0.0,0.0,2.0,7.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,119086,109812,126415,126662,111741,111741,3811
001_Win_15_10m_02-2,0.0,0.0,0.0,0.0,2.0,7.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,436809,366643,471950,476816,379220,376655,71437
